biosample_id,Cas12g,Cas13i,Cas12e,Cas13d,Cas3HD,Cas9,Cas3d,Cas10,Cas12d,Cas12c,Cas10d,Cas13f,Cas12k,Cas12b,Cas3,Cas12a,Cas12f,Cas13b,Cas12m,Cas3-Cas2
SAMEA112157191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SAMEA112157081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA112157016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA112157126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SAMEA112157095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SAMEA112157192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
SAMEA112157091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SAMEA112156897,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA112362601,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA7326069,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
SAMEA13915331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA14201083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA8653682,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA8653686,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA8653695,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA8653666,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA8653760,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA8653745,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA8653485,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA8653790,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA8653735,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA8653707,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA8653730,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA8653725,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA8653727,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA8653633,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA8653795,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA8653597,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA8653786,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA8653652,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA8653739,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA8653744,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA8653769,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA8653742,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA8117582,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA8117583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA14418544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA14418532,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA14418524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA14418523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA14418546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA14418520,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA14418540,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
SAMEA14418528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA14418542,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA14418545,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA14418514,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA14277758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA14509622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA110068423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA110068398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
