"run_accession","biosample","bioproject","organism","taxid","instrument_model","platform","title"
"SRR5323278","SAMN06456374","PRJNA348753","Bacteroidales bacterium UBA2198",1950438,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA2198"
"SRR5130625","SAMN06166527","PRJNA358111","Bergeyella zoohelcum ATCC 43767",883096,"Illumina MiSeq","ILLUMINA","RNA-Seq of Bergeyella zoohelcum ATCC 43767: reverse reads"
"SRR5130626","SAMN06166527","PRJNA358111","Bergeyella zoohelcum ATCC 43767",883096,"Illumina MiSeq","ILLUMINA","RNA-Seq of Bergeyella zoohelcum ATCC 43767: forward reads"
"SRR5326500","SAMN06457306","PRJNA348753","Bacteroidales bacterium UBA5249",1950610,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA5249"
"SRR5326507","SAMN06452237","PRJNA348753","Bacteroidales bacterium UBA5256",1950611,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA5256"
"SRR5326516","SAMN06454621","PRJNA348753","Bacteroidales bacterium UBA5266",1950613,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA5266"
"SRR5326520","SAMN06457553","PRJNA348753","Bacteroidales bacterium UBA5269",1950614,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA5269"
"SRR5326522","SAMN06451529","PRJNA348753","Bacteroidales bacterium UBA5271",1950615,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA5271"
"SRR5326531","SAMN06457561","PRJNA348753","Bacteroidales bacterium UBA5261",1950612,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA5261"
"SRR5326538","SAMN06455105","PRJNA348753","Bacteroidales bacterium UBA5287",1950617,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA5287"
"SRR5326540","SAMN06451245","PRJNA348753","Bacteroidales bacterium UBA5281",1950616,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA5281"
"SRR5326543","SAMN06456025","PRJNA348753","Bacteroidales bacterium UBA5291",1950618,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA5291"
"SRR5326551","SAMN06456031","PRJNA348753","Bacteroidales bacterium UBA5299",1950619,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA5299"
"SRR5326565","SAMN06454700","PRJNA348753","Bacteroidales bacterium UBA7647",1950747,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA7647"
"SRR5326568","SAMN06457259","PRJNA348753","Bacteroidales bacterium UBA7650",1950748,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA7650"
"SRR5326578","SAMN06457775","PRJNA348753","Bacteroidales bacterium UBA1035",1950368,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA1035"
"SRR5326584","SAMN06456012","PRJNA348753","Bacteroidales bacterium UBA1040",1950369,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA1040"
"SRR5326619","SAMN06452507","PRJNA348753","Bacteroidales bacterium UBA4865",1950595,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA4865"
"SRR5326620","SAMN06453488","PRJNA348753","Bacteroidales bacterium UBA4866",1950596,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA4866"
"SRR5326637","SAMN06453587","PRJNA348753","Bacteroidales bacterium UBA4850",1950594,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA4850"
"SRR5323077","SAMN06456906","PRJNA348753","Bacteroidales bacterium UBA1458",1950410,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA1458"
"SRR5323137","SAMN06457402","PRJNA348753","Bacteroidales bacterium UBA6192",1950669,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA6192"
"SRR5323145","SAMN06454062","PRJNA348753","Bacteroidales bacterium UBA6117",1950668,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA6117"
"SRR5323173","SAMN06452888","PRJNA348753","Bacteroidales bacterium UBA6088",1950667,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA6088"
"SRR5323194","SAMN06455614","PRJNA348753","Bacteroidales bacterium UBA6074",1950666,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA6074"
"SRR5323212","SAMN06455202","PRJNA348753","Bacteroidales bacterium UBA6229",1950671,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA6229"
"SRR5323228","SAMN06455984","PRJNA348753","Bacteroidales bacterium UBA6244",1950672,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA6244"
"SRR5323232","SAMN06455982","PRJNA348753","Bacteroidales bacterium UBA6248",1950673,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA6248"
