sequence_id,spacerhost,phage_id,pident,algn_length,mismatch,gapopen,phagestart,phageend,phagelength,evalue,bitscore,phagecg,phagetaxonomy,completeness,phagehost,lifestyle,phagesource
GCA_021406685.1@8_1,Porphyromonas gingivalis,IMGVR_UViG_2858652038_000001|2858652038|2858652105|9513-66683,100.0,30,0,0,56183,56212,57171,2.92e-07,60.0,51.34596211365903,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
GCA_021406685.1@8_1,Porphyromonas gingivalis,IMGVR_UViG_2571042235_000001|2571042235|2571059602|13605-56115,100.0,30,0,0,479,450,42511,2.92e-07,60.0,50.859777469360864,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
GCA_021406685.1@8_1,Porphyromonas gingivalis,IMGVR_UViG_3300045988_183125|3300045988|Ga0495776_172817,100.0,30,0,0,585,556,43617,2.92e-07,60.0,50.37943920948255,Caudoviricetes,High-quality,Porphyromonas,temperate,IMG_VR
GCA_021406685.1@8_6,Porphyromonas gingivalis,Station205_MES_ALL_assembly_NODE_4716_length_13615_cov_54.638938,93.103,29,2,0,3775,3747,13615,0.069,42.1,31.509364671318394,Caudovirales,Low-quality,Elizabethkingia anophelis,virulent,GOV2
GCA_021406685.1@8_6,Porphyromonas gingivalis,Station205_SUR_ALL_assembly_NODE_3879_length_12429_cov_19.335542,93.103,29,2,0,4361,4389,12429,0.069,42.1,30.517338482581057,Caudovirales,Low-quality,Elizabethkingia anophelis,virulent,GOV2
GCA_021406685.1@8_8,Porphyromonas gingivalis,IMGVR_UViG_2858652038_000001|2858652038|2858652105|9513-66683,96.667,30,1,0,15253,15282,57171,7.11e-05,52.0,51.34596211365903,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
GCA_021406685.1@8_4,Porphyromonas gingivalis,IMGVR_UViG_2531839003_000001|2531839003|2531840682|878-52163,96.667,30,1,0,5446,5417,51286,7.11e-05,52.0,52.12533634910111,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
GCA_021406685.1@8_5,Porphyromonas gingivalis,SAMEA2738073_b1_ct2_vs2,93.333,30,2,0,13563,13534,23250,0.017,44.1,52.79139784946236,Siphoviridae,Medium-quality,Porphyromonas,temperate,CHVD
GCA_009663565.1@4_1,Riemerella anatipestifer,Station72_DCM_ALL_assembly_NODE_31_length_76956_cov_5.497874,93.103,29,2,0,37257,37285,76956,0.069,42.1,38.25302770414263,Caudovirales,Medium-quality,Acinetobacter calcoaceticus,virulent,GOV2
GCA_009663565.1@4_1,Riemerella anatipestifer,Station100_DCM_ALL_assembly_NODE_89_length_60434_cov_6.364464,93.103,29,2,0,21371,21399,60434,0.069,42.1,38.32114372704107,Caudovirales,Medium-quality,Moraxella catarrhalis,virulent,GOV2
