array_id,biosampleaccn,contig_id,arraystart,arrayend,arraylen,avgrepeatlen,avgspacerlen,number_of_spacers,spacer_len_var,dist_to_cas13b,orientation,category,score,filter,date,organism,speciesname
6acaa9cd-f669-4b98-af4c-a910a52175d8,SAMN05000968,NZ_CP016277.1,2377783,2379660,1878,36,29,28,0.4987,553196,Reverse,Possible,0.6490,FAILED,09-07-2025-14-11-49,Flavobacterium columnare (CFB group bacteria),Flavobacterium columnare
26d94428-22ef-4a83-ab07-0d836c889898,SAMN10691118,NZ_CP034930.1,2029219,2029452,234,36,30,3,0.0000,206,Foward,Possible,0.5981,PASSED,09-07-2025-14-11-40,Apibacter raozihei (CFB group bacteria),Apibacter raozihei
e8edab1e-b333-4aac-94ed-7d468e9d5c0e,SAMN02463902,NZ_JH932293.1,2202844,2204247,1404,36,100,10,223.8893,59,Reverse,Possible,0.5913,FAILED,09-07-2025-14-14-32,Bergeyella zoohelcum ATCC 43767 (CFB group bacteria),Bergeyella zoohelcum
c7a62b82-e107-4ba9-8d6e-af982cc0caca,SAMN02463902,NZ_JH932293.1,2436,4078,1643,29,35,25,0.5686,2200228,Reverse,Possible,0.6194,FAILED,09-07-2025-14-14-32,Bergeyella zoohelcum ATCC 43767 (CFB group bacteria),Bergeyella zoohelcum
1ccbbfa6-5d80-4fc4-8c3b-a2d12251edac,SAMEA4362427,NZ_UFTL01000001.1,2117231,2118277,1047,47,29,13,0.2774,399907,Reverse,Possible,0.6384,FAILED,09-07-2025-14-14-34,Bergeyella zoohelcum (CFB group bacteria),Bergeyella zoohelcum
d3ab560b-e15c-401b-9dc5-2dc25022b660,SAMEA4362427,NZ_UFTL01000001.1,1717383,1718550,1168,36,77,10,149.2595,59,Foward,Possible,0.6087,FAILED,09-07-2025-14-14-34,Bergeyella zoohelcum (CFB group bacteria),Bergeyella zoohelcum
72f916fa-65bb-41ea-a610-1cbe66982037,SAMEA4362427,NZ_UFTL01000001.1,1601840,1603482,1643,29,35,25,0.5686,110168,Foward,Possible,0.6194,FAILED,09-07-2025-14-14-34,Bergeyella zoohelcum (CFB group bacteria),Bergeyella zoohelcum
11deae98-f07a-4df3-bfca-6fa0e8d28509,SAMEA4362427,NZ_UFTL01000001.1,213360,214561,1202,47,30,15,0.0000,1499089,Reverse,Possible,0.6345,FAILED,09-07-2025-14-14-34,Bergeyella zoohelcum (CFB group bacteria),Bergeyella zoohelcum
a68b9370-83bd-4e16-b3c8-c5f14d60ab02,SAMEA104307710,NZ_UYIV01000001.1,2128355,2129402,1048,47,30,13,0.0000,563902,Foward,Possible,0.6676,FAILED,09-07-2025-14-14-36,Bergeyella zoohelcum (CFB group bacteria),Bergeyella zoohelcum
e327b6c0-1c9a-46ca-b7e9-12e243bcd2ef,SAMEA104307710,NZ_UYIV01000001.1,2103712,2104143,432,47,30,5,0.0000,539259,Reverse,Possible,0.6776,FAILED,09-07-2025-14-14-36,Bergeyella zoohelcum (CFB group bacteria),Bergeyella zoohelcum
