operon_id,biosample_id,species,spacers
GCA_900618195.1@5,SAMEA104307710,Bergeyella zoohelcum,3
GCA_900683625.1@14,SAMEA104200672,Chryseobacterium taihuense,8
GCA_902499555.1@14,SAMEA5787750,Mesonia oceanica,12
GCA_900176315.1@6,SAMN02787074,Chryseobacterium sp. YR221,20
GCA_900186945.1@14,SAMEA4063029,Riemerella anatipestifer,13
GCA_900445655.1@35,SAMEA4362427,Bergeyella zoohelcum,10
GCA_900446855.1@6,SAMEA104318207,Chryseobacterium jejuense,15
GCA_900454855.1@12,SAMEA104224811,Prevotella buccae,10
GCA_900454935.1@28,SAMEA104224808,Prevotella pallens,5
GCA_900455005.1@5,SAMEA4412688,Prevotella intermedia,12
GCA_027696905.1@3,SAMN31809581,Prevotella buccae,7
GCA_027854065.1@5,SAMN32236836,Chitinophagaceae bacterium LY-5,20
GCA_027924145.1@10,SAMD00514932,Neptunitalea chrysea,5
GCA_027924185.1@6,SAMD00514931,Neptunitalea sp. Y10,6
GCA_028335085.1@6,SAMN30559731,Porphyromonas gingivalis,4
GCA_028335105.1@15,SAMN30559730,Porphyromonas gingivalis,7
GCA_028335105.1@4,SAMN30559730,Porphyromonas gingivalis,5
GCA_028335125.1@18,SAMN30559733,Porphyromonas gingivalis,3
GCA_028377305.1@11,SAMN29366924,Prolixibacteraceae bacterium,8
GCA_028680055.1@4,SAMN12287987,Riemerella anatipestifer,18
GCA_025629605.1@1,SAMN30822358,Riemerella anatipestifer,6
GCA_025629665.1@16,SAMN30822355,Riemerella anatipestifer,13
GCA_025907495.1@15,SAMN31394343,Riemerella anatipestifer,12
GCA_025907515.1@11,SAMN31394332,Riemerella anatipestifer,31
GCA_025907525.1@14,SAMN31394335,Riemerella anatipestifer,13
GCA_025907695.1@3,SAMN31394347,Riemerella anatipestifer,15
GCA_025907735.1@13,SAMN31394342,Riemerella anatipestifer,14
GCA_025907745.1@15,SAMN31394341,Riemerella anatipestifer,13
GCA_025947105.1@19,SAMN31309370,Flavobacterium sp. N1861,3
GCA_025999875.1@6,SAMD00253732,Bacteroidia bacterium,13
GCA_026000155.1@6,SAMD00253742,Bacteroidia bacterium,12
GCA_026427735.1@16,SAMN31373282,Riemerella anatipestifer,17
GCA_026652135.1@12,SAMN31846359,Sinomicrobium oceani,11
GCA_028993465.1@6,SAMN30559732,Porphyromonas gingivalis,3
GCA_900100075.1@9,SAMN05421542,Chryseobacterium jejuense,9
GCA_900109895.1@1,SAMN05216436,bacterium A37T11,17
GCA_900142785.1@8,SAMN05444360,Chryseobacterium carnipullorum,9
GCA_900156735.1@16,SAMN05421786,Chryseobacterium ureilyticum,7
GCA_900157215.1@20,SAMEA3505341,Porphyromonas gingivalis,3
GCA_900157215.1@5,SAMEA3505341,Porphyromonas gingivalis,14
GCA_900157225.1@12,SAMEA3505343,Porphyromonas gingivalis,3
GCA_900157225.1@2,SAMEA3505343,Porphyromonas gingivalis,6
GCA_900157235.1@17,SAMEA3505351,Porphyromonas gingivalis,5
GCA_900157245.1@15,SAMEA3505346,Porphyromonas gingivalis,8
