operon_id,gene_name,hmm_name,evalue,score,truncated,length
ERZ920304@13,Cas9,Cas9_c150,0.0,2228.2,00,1351
ERZ920304@143,Cas9,Cas9_c11,0.0,1406.4,00,1380
ERZ920304@179,Cas9,Cas9_c3,0.0,642.0,00,1039
ERZ920304@21,Cas12f,Cas12f_c8,0.0,447.4,00,489
ERZ920304@211,Cas12f,Cas12f_c94,0.0,839.8,00,537
ERZ920304@247,Cas9,Cas9_c18,0.0,732.4,00,723
ERZ920304@27,Cas9,Cas9_c2,0.0,1687.5,00,1343
ERZ920304@274,Cas9,Cas9_c2,0.0,1802.6,00,1353
ERZ920304@288,Cas12a,Cas12a_c5,0.0,1397.4,00,1264
ERZ920304@308,Cas12f,Cas12f_c29,0.0,263.4,00,307
ERZ920304@308,Cas12f,Cas12f_c29,0.0,244.8,00,203
ERZ920304@74,Cas9,Cas9_c2,0.0,1832.6,00,1326
ERZ920304@92,Cas9,Cas9_c13,0.0,2187.6,00,1526
ERZ920305@131,Cas12f,Cas12f_c200,4.5e-08,18.3,00,270
ERZ920305@131,Cas9,Cas9_c13,0.0,2328.8,00,1510
ERZ920305@15,Cas9,Cas9_c2,0.0,1696.3,00,1346
ERZ920305@161,Cas12f,Cas12f_c29,0.0,594.6,00,513
ERZ920305@172,Cas9,Cas9_c3,0.0,671.6,00,1093
ERZ920305@180,Cas9,Cas9_c13,0.0,2215.2,00,1500
ERZ920305@20,Cas9,Cas9_c11,0.0,1501.3,00,1425
ERZ920305@23,Cas9,Cas9_c13,0.0,2088.8,01,1360
ERZ920305@27,Cas9,Cas9_c2,0.0,1830.8,00,1326
ERZ920305@276,Cas13d,Cas13d_0_CAS-VI-D,0.0,1393.2,00,923
ERZ920305@48,Cas9,Cas9_c49,0.0,1581.9,00,1429
ERZ920305@80,Cas12a,Cas12a_c5,0.0,1644.0,00,1246
ERZ920305@87,Cas9,Cas9_c2,0.0,1488.2,00,1317
ERZ920306@138,Cas12a,Cas12a_c5,0.0,1398.4,00,1264
ERZ920306@164,Cas9,Cas9_c2,0.0,1697.9,00,1325
ERZ920306@166,Cas12a,Cas12a_c5,0.0,1427.7,00,1285
ERZ920306@18,Cas9,Cas9_c2,0.0,1574.0,00,1362
ERZ920306@245,Cas9,Cas9_c2,0.0,805.8,00,646
ERZ920306@226,Cas9,Cas9_c2,0.0,1694.2,00,1343
ERZ920306@240,Cas9,Cas9_c49,0.0,1600.2,00,1423
ERZ920306@27,Cas9,Cas9_c13,0.0,1982.2,01,1353
ERZ920306@36,Cas9,Cas9_c13,0.0,2253.4,00,1509
ERZ920306@49,Cas9,Cas9_c3,0.0,936.5,00,1063
ERZ920306@90,Cas9,Cas9_c13,0.0,2227.1,00,1499
ERZ920307@120,Cas9,Cas9_c2,0.0,1726.7,00,1326
ERZ920307@145,Cas9,Cas9_c13,0.0,2229.7,00,1510
ERZ920307@166,Cas9,Cas9_c11,0.0,1501.3,00,1425
ERZ920307@170,Cas9,Cas9_c2,0.0,1830.5,00,1326
ERZ920307@24,Cas9,Cas9_c3,0.0,946.3,00,1105
ERZ920307@56,Cas9,Cas9_c2,0.0,562.0,00,774
ERZ920307@7,Cas9,Cas9_c18,0.0,884.3,00,1220
ERZ920308@38,Cas9,Cas9_c49,0.0,1568.5,00,1428
ERZ920309@100,Cas9,Cas9_c2,0.0,1323.5,00,1447
ERZ920309@105,Cas9,Cas9_c2,0.0,1430.9,00,1415
ERZ920309@141,Cas9,Cas9_c2,0.0,1832.6,00,1326
ERZ920309@178,Cas9,Cas9_c4,0.0,1163.3,00,1003
ERZ920309@236,Cas12f,Cas12f_c45,2.3e-06,12.5,00,54
ERZ920309@24,Cas9,Cas9_c13,0.0,1807.1,01,1188
ERZ920309@241,Cas9,Cas9_c18,0.0,913.0,00,1226
ERZ920309@247,Cas9,Cas9_c18,0.0,968.6,00,1221
ERZ920309@255,Cas12a,Cas12a_c5,0.0,1392.3,00,1264
ERZ920309@50,Cas12a,Cas12a_c5,0.0,1394.8,00,1260
ERZ920309@59,Cas12a,Cas12a_c5,0.0,1784.6,00,1246
ERZ920309@78,Cas12f,Cas12f_c200,1.4e-08,20.0,00,269
ERZ920309@78,Cas9,Cas9_c11,0.0,1480.6,00,1428
ERZ920310@104,Cas12f,Cas12f_c29,0.0,593.7,00,513
ERZ920310@130,Cas9,Cas9_c2,0.0,1405.1,00,1344
ERZ920310@132,Cas12f,Cas12f_c6,0.0,363.4,00,381
ERZ920310@158,Cas9,Cas9_c18,0.0,968.7,00,1221
