,sequence_id,spacer_host,phage_id,pidenty,algn_length,mismatch,phagestart,phageend,phage_len,evalue,bitscore,phage_cg,phage_taxonomy,phage_completeness,phage_host,phage_lifestyle,phage_source,spacerhost,pident,phagelength,phagecg,phagetaxonomy,completeness,phagehost,lifestyle,phagesource
0,90cb118e-1e90-4f8b-a6ed-001ffefe81cb,,Station191_SUR_ALL_assembly_NODE_18_length_111890_cov_446.688988,,29,1,79302,79274,,0.000281,50.1,,,,,,,Flavobacterium columnare,96.552,111890.0,33.848422557869334,Caudovirales,Medium-quality,Cellulophaga baltica,virulent,GOV2
1,90cb118e-1e90-4f8b-a6ed-001ffefe81cb,,Station188_DCM_ALL_assembly_NODE_2728_length_22965_cov_7.986469,,29,1,22958,22930,,0.000281,50.1,,,,,,,Flavobacterium columnare,96.552,22965.0,29.97605051164816,Caudovirales,Low-quality,Clostridioides difficile,virulent,GOV2
2,90cb118e-1e90-4f8b-a6ed-001ffefe81cb,,Station194_SUR_ALL_assembly_NODE_5263_length_10389_cov_61.048771,,29,1,9788,9760,,0.000281,50.1,,,,,,,Flavobacterium columnare,96.552,10389.0,34.30551544903263,Caudovirales,Low-quality,Bacteroides xylanisolvens,virulent,GOV2
3,24494fc2-fa93-486a-b2c4-57a3d61c2fc6,,NC_041845.1,,30,0,37365,37336,,2.92e-07,60.0,,,,,,,Flavobacterium columnare,100.0,46450.0,29.82346609257266,Caudovirales,High-quality,Flavobacterium columnare,virulent,REFSEQ
4,b15a55af-a302-47b6-a46f-0b85d1ab8b60,,KM873719.2,,30,0,44383,44354,,2.92e-07,60.0,,,,,,,Flavobacterium columnare,100.0,47142.0,30.198124814390564,Caudovirales,High-quality,Campylobacter coli,virulent,GENBANK
5,b15a55af-a302-47b6-a46f-0b85d1ab8b60,,NC_027125.1,,30,0,44383,44354,,2.92e-07,60.0,,,,,,,Flavobacterium columnare,100.0,47142.0,30.198124814390564,Caudovirales,High-quality,Flavobacterium columnare,virulent,REFSEQ
6,b15a55af-a302-47b6-a46f-0b85d1ab8b60,,NC_041845.1,,30,0,45085,45056,,2.92e-07,60.0,,,,,,,Flavobacterium columnare,100.0,46450.0,29.82346609257266,Caudovirales,High-quality,Flavobacterium columnare,virulent,REFSEQ
7,d027431b-6693-4686-aacb-ef60403a57b9,,IMGVR_UViG_2639763162_000001|2639763162|2639848518|21614-75019,,29,0,37366,37338,,1.15e-06,58.0,,,,,,,Porphyromonas gingivalis,100.0,53406.0,49.39145414372917,Caudoviricetes,High-quality,Porphyromonas gulae,temperate,IMG_VR
8,d027431b-6693-4686-aacb-ef60403a57b9,,IMGVR_UViG_2855585092_000002|2855585092|2855585172|3283-47269,,29,0,32173,32145,,1.15e-06,58.0,,,,,,,Porphyromonas gingivalis,100.0,43987.0,50.48764407665901,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
9,d027431b-6693-4686-aacb-ef60403a57b9,,IMGVR_UViG_2846829876_000002|2846829876|2846829876|620851-664599,,29,0,31069,31041,,1.15e-06,58.0,,,,,,,Porphyromonas gingivalis,100.0,43749.0,50.54515531783584,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
