sequence_id,phage_id,pident,algn_length,mismatch,gapopen,phagestart,phageend,phagelength,evalue,bitscore,phage_cg,phage_taxonomy,phage_completeness,phage_host,phage_lifestyle,phage_source
3300014026@551_sp1,SRS142483_a1_ct54022_vs01,96.667,30,1,0,34148,34177,50534,7.11e-05,52.0,43.71908022321605,Siphoviridae,High-quality,Prevotella,virulent,CHVD
3300014026@551_sp4,SRS142483_a1_ct54022_vs01,100.0,30,0,0,10156,10185,50534,2.92e-07,60.0,43.71908022321605,Siphoviridae,High-quality,Prevotella,virulent,CHVD
3300014026@551_sp5,SRS047634_a1_ct54278_vs1,100.0,30,0,0,14049,14020,28000,2.92e-07,60.0,40.785714285714285,Myoviridae,Low-quality,Prevotella,virulent,CHVD
3300014292@5_sp1,SRS022725_a1_ct33508_vs01,100.0,28,0,0,8567,8540,13049,4.1e-06,56.0,44.91531918154648,Myoviridae,Low-quality,Prevotella,virulent,CHVD
3300014292@5_sp1,MGV-GENOME-0327944,96.429,28,1,0,37692,37665,43218,0.001,48.1,43.53278726456569,Caudovirales,High-quality,Bacteroides vulgatus,virulent,MGV
3300014292@5_sp1,MGV-GENOME-0313076,96.429,28,1,0,29719,29692,36792,0.001,48.1,42.59078060447924,Caudovirales,Medium-quality,Parabacteroides distasonis,virulent,MGV
3300014292@5_sp1,IMGVR_UViG_3300006260_000156|3300006260|Ga0099518_100046|52850-98363,96.429,28,1,0,32435,32408,45514,0.001,48.1,43.14936063628774,Caudoviricetes,High-quality,Prevotella,temperate,IMG_VR
3300014292@5_sp1,IMGVR_UViG_3300007208_000210|3300007208|Ga0103291_100033|38771-86660,96.429,28,1,0,34341,34314,47890,0.001,48.1,42.601795782000416,Caudoviricetes,High-quality,Prevotella,temperate,IMG_VR
3300014292@5_sp1,IMGVR_UViG_2874499349_000001|2874499349|2874499349|50467-102037,96.429,28,1,0,36050,36023,51571,0.001,48.1,43.22778305636889,Caudoviricetes,High-quality,Prevotella intermedia,temperate,IMG_VR
3300014292@5_sp1,IMGVR_UViG_7000000366_000092|7000000366|SRS065278_LANL_scaffold_66260,96.429,28,1,0,32749,32722,46720,0.001,48.1,42.63698630136986,Caudoviricetes,High-quality,Prevotella,virulent,IMG_VR
3300014292@5_sp1,IMGVR_UViG_3300045988_180185|3300045988|Ga0495776_158472,96.429,28,1,0,30734,30707,44537,0.001,48.1,43.0428632373083,Caudoviricetes,High-quality,Prevotella,virulent,IMG_VR
3300014292@5_sp1,IMGVR_UViG_3300045988_165566|3300045988|Ga0495776_160479,96.429,28,1,0,34331,34304,41295,0.001,48.1,44.70032691609154,Caudoviricetes,High-quality,Prevotella,virulent,IMG_VR
3300014292@5_sp1,IMGVR_UViG_3300045988_174628|3300045988|Ga0495776_158320,96.429,28,1,0,37692,37665,43218,0.001,48.1,43.53278726456569,Caudoviricetes,High-quality,Prevotella,virulent,IMG_VR
3300014292@5_sp2,MGV-GENOME-0296411,100.0,28,0,0,29216,29189,45730,4.1e-06,56.0,42.47977257817625,Caudovirales,Complete,GCA-900066995,virulent,MGV
3300014292@5_sp2,IMGVR_UViG_3300045988_115899|3300045988|Ga0495776_015886,100.0,28,0,0,29216,29189,45730,4.1e-06,56.0,42.47977257817625,Caudoviricetes,Complete,Prevotella,virulent,IMG_VR
3300014292@5_sp2,SAMEA2737885_b1_ct7,100.0,28,0,0,3654,3681,45675,4.1e-06,56.0,42.46743295019157,Caudovirales,High-quality,Prevotella,virulent,CHVD
3300014292@5_sp2,MGV-GENOME-0267287,100.0,28,0,0,15202,15175,39759,4.1e-06,56.0,42.44573555672929,Caudovirales,Medium-quality,GCA-900066995,virulent,MGV
3300014292@5_sp2,MGV-GENOME-0286065,92.857,28,2,0,19256,19229,43399,0.24,40.1,42.20604161386207,Caudovirales,High-quality,Odoribacter,virulent,MGV
3300014292@5_sp2,IMGVR_UViG_3300045988_123175|3300045988|Ga0495776_056024,92.857,28,2,0,19256,19229,43399,0.24,40.1,42.20604161386207,Caudoviricetes,High-quality,Prevotella,virulent,IMG_VR
3300014293@30_sp0,SRS101445_a1_ct53621_vs1,100.0,30,0,0,15887,15916,17928,2.92e-07,60.0,45.08589915216421,Siphoviridae,Low-quality,Prevotella,virulent,CHVD
3300014293@30_sp0,MGV-GENOME-0327944,93.333,30,2,0,15651,15680,43218,0.017,44.1,43.53278726456569,Caudovirales,High-quality,Bacteroides vulgatus,virulent,MGV
3300014293@30_sp0,MGV-GENOME-0313076,93.333,30,2,0,9697,9726,36792,0.017,44.1,42.59078060447924,Caudovirales,Medium-quality,Parabacteroides distasonis,virulent,MGV
3300014293@30_sp0,MGV-GENOME-0276554,93.333,30,2,0,26640,26669,41539,0.017,44.1,41.90279014901659,Caudovirales,High-quality,Coprobacillus,virulent,MGV
3300014293@30_sp0,IMGVR_UViG_3300008636_000155|3300008636|Ga0111420_100085|61064-107867,93.333,30,2,0,31008,30979,46804,0.017,44.1,43.23134774805572,Caudoviricetes,High-quality,Prevotella,temperate,IMG_VR
3300014293@30_sp0,IMGVR_UViG_3300006251_000178|3300006251|Ga0099392_100037|31684-79470,93.333,30,2,0,15801,15830,47787,0.017,44.1,42.81917676355494,Caudoviricetes,High-quality,Prevotella,temperate,IMG_VR
3300014293@30_sp1,SRS144368_a1_ct46973_vs1,100.0,29,0,0,27372,27400,27844,1.15e-06,58.0,29.83407556385577,-,Low-quality,Tannerella,virulent,CHVD
3300014293@30_sp1,SRS143062_a1_ct5025_vs1,96.552,29,1,0,11955,11927,49460,0.000281,50.1,28.637282652648604,-,Low-quality,Prevotella,virulent,CHVD
3300014293@30_sp1,SRS104830_a1_ct20894_vs1,96.552,29,1,0,18219,18191,198990,0.000281,50.1,28.034574601738782,Myoviridae,High-quality,Prevotella,virulent,CHVD
3300014293@30_sp1,SRS042643_a1_ct31205_vs1,96.552,29,1,0,6142,6170,26354,0.000281,50.1,27.806025650755107,Podoviridae,Low-quality,-,virulent,CHVD
3300014293@30_sp2,MGV-GENOME-0313076,100.0,30,0,0,35824,35795,36792,2.92e-07,60.0,42.59078060447924,Caudovirales,Medium-quality,Parabacteroides distasonis,virulent,MGV
3300014293@30_sp2,IMGVR_UViG_3300006251_000178|3300006251|Ga0099392_100037|31684-79470,100.0,30,0,0,39623,39594,47787,2.92e-07,60.0,42.81917676355494,Caudoviricetes,High-quality,Prevotella,temperate,IMG_VR
3300014293@30_sp2,IMGVR_UViG_3300006459_000203|3300006459|Ga0100222_100062|31656-80797,100.0,30,0,0,39624,39595,49142,2.92e-07,60.0,42.54405600097676,Caudoviricetes,High-quality,Prevotella,temperate,IMG_VR
3300014293@30_sp2,IMGVR_UViG_3300006260_000156|3300006260|Ga0099518_100046|52850-98363,100.0,30,0,0,38644,38615,45514,2.92e-07,60.0,43.14936063628774,Caudoviricetes,High-quality,Prevotella,temperate,IMG_VR
