operon_id,subtype,subtype_score,operon_length,n_crispr,n_spacers,n_tracr,n_cas,n_genes,evalue,gene_name
2061766007@2974,VI,VI,4144,1,5,0,1,2,0.0,Cas13b
2061766007@542,VI,VI,5735,1,12,0,2,3,0.0,Cas13b
3300000318@28,VI,VI,3734,1,6,0,1,1,0.0,Cas13b
3300000318@46,VI,VI,10225,1,5,0,3,5,0.0,Cas13b
3300000839@161,VI,VI,3510,1,7,0,1,1,0.0,Cas13b
3300001096@44,VI,VI,4935,1,20,0,1,2,0.0,Cas13b
3300001350@84,VI,VI,4731,1,5,0,2,2,0.0,Cas13b
3300001351@84,VI,VI,4731,1,5,0,2,2,0.0,Cas13b
3300001368@2,VI,VI,4572,1,6,0,2,3,0.0,Cas13b
3300001368@36,VI,VI,4070,1,6,0,1,1,0.0,Cas13b
3300001484@37,VI,VI,7518,1,22,0,2,3,0.0,Cas13b
3300001485@55,VI,VI,6304,1,18,0,3,3,0.0,Cas13b
3300001520@15,VI,VI,9620,1,8,0,3,6,0.0,Cas13b
3300001592@135,VI,VI,4479,1,5,0,1,3,0.0,Cas13b
3300001598@283,VI,VI,6018,1,16,0,2,4,0.0,Cas13b
3300001598@480,VI,VI,7932,1,23,0,3,4,0.0,Cas13b
3300001784@19,VI,VI,4820,1,9,0,1,2,0.0,Cas13b
3300001784@237,VI,VI,5287,1,17,0,2,3,0.0,Cas13b
3300001865@199,VI,VI,4807,1,9,0,1,2,0.0,Cas13b
3300001868@56,VI,VI,4853,1,11,0,1,3,0.0,Cas13b
3300001869@56,VI,VI,4853,1,11,0,1,3,0.0,Cas13b
3300001881@54,VI,VI,4204,1,13,0,1,1,0.0,Cas13b
3300002026@227,VI,VI,4496,1,8,0,1,2,0.0,Cas13b
3300002026@665,VI,VI,3919,1,8,0,1,2,0.0,Cas13b
3300002101@63,VI,VI,5067,1,14,0,1,3,0.0,Cas13b
3300002103@44,VI,VI,4853,1,11,0,1,3,0.0,Cas13b
3300002344@5,VI,VI,5203,1,16,0,2,2,0.0,Cas13b
3300002346@2,VI,VI,5203,1,16,0,2,2,0.0,Cas13b
3300002542@93,VI,VI,3881,1,5,0,1,1,0.0,Cas13b
3300002641@352,VI,VI,9620,1,8,0,3,6,0.0,Cas13b
3300002641@598,VI,VI,6304,1,18,0,3,3,0.0,Cas13b
3300002641@707,VI,VI,7518,1,22,0,2,3,0.0,Cas13b
3300002839@128,VI,VI,4844,1,11,0,1,3,0.0,Cas13b
3300002854@244,VI,VI,4643,1,19,0,1,1,0.0,Cas13b
3300002854@550,VI,VI,5251,1,25,0,1,1,0.0,Cas13b
3300002855@59,VI,VI,5251,1,25,0,1,1,0.0,Cas13b
3300002855@92,VI,VI,4643,1,19,0,1,1,0.0,Cas13b
3300002898@231,VI,VI,4271,1,12,0,1,1,0.0,Cas13b
3300002988@40,VI,VI,5785,1,25,0,2,4,0.0,Cas13b
3300003329@23,VI,VI,2933,1,5,0,1,1,0.0,Cas13b
3300003369@24,VI,VI,4669,1,16,0,2,2,0.0,Cas13b
3300003473@57,VI,VI,5730,1,24,0,2,2,0.0,Cas13b
3300003770@59,VI,VI,5203,1,16,0,2,3,0.0,Cas13b
3300003778@58,VI,VI,5201,1,16,0,2,3,0.0,Cas13b
3300003842@73,VI,VI,5203,1,16,0,2,2,0.0,Cas13b
3300004628@331,VI,VI,5287,1,17,0,2,3,0.0,Cas13b
3300004628@76,VI,VI,4807,1,9,0,1,2,0.0,Cas13b
3300004634@56,VI,VI,2782,1,10,0,1,1,0.0,Cas13b
3300005284@88,VI,VI,8277,1,24,0,3,3,0.0,Cas13b
3300005403@71,VI,VI,7243,1,13,0,2,4,0.0,Cas13b
3300005563@106,VI,VI,5070,1,20,0,1,1,0.0,Cas13b
3300005827@10,VI,VI,5751,1,27,0,1,2,0.0,Cas13b
3300005916@151,VI,VI,4972,1,12,0,2,4,0.0,Cas13b
3300005920@33,VI,VI,4396,1,4,0,2,2,0.0,Cas13b
3300005932@64,VI,VI,4232,1,10,0,1,1,0.0,Cas13b
3300005961@169,VI,VI,4388,1,9,0,1,1,0.0,Cas13b
3300005961@48,VI,VI,8401,1,34,0,3,5,0.0,Cas13b
3300006192@99,VI,VI,4233,1,6,0,1,2,0.0,Cas13b
3300006247@161,VI,VI,4291,1,10,0,1,1,0.0,Cas13b
3300006253@81,VI,VI,3991,1,6,0,1,1,0.0,Cas13b
3300006317@389,VI,VI,3905,1,5,0,1,2,0.0,Cas13b
3300006488@42,VI,VI,4771,1,12,0,1,2,0.0,Cas13b
3300006498@107,VI,VI,4670,1,10,0,1,2,0.0,Cas13b
3300007194@103,VI,VI,4105,1,12,0,1,3,0.0,Cas13b
